alpha,variable,value,metric,group,model_number,percent
0.46,fpr_0,0.15399867812293458,false_positive_rate,Black,23,15.399867812293458
0.48,fpr_0,0.1520158625247852,false_positive_rate,Black,24,15.201586252478519
0.5,fpr_0,0.15003304692663583,false_positive_rate,Black,25,15.003304692663583
0.52,fpr_0,0.14805023132848646,false_positive_rate,Black,26,14.805023132848646
0.54,fpr_0,0.14606741573033707,false_positive_rate,Black,27,14.606741573033707
0.56,fpr_0,0.1440846001321877,false_positive_rate,Black,28,14.408460013218772
0.58,fpr_0,0.14144084600132187,false_positive_rate,Black,29,14.144084600132187
0.6,fpr_0,0.1394580304031725,false_positive_rate,Black,30,13.945803040317251
0.62,fpr_0,0.13747521480502314,false_positive_rate,Black,31,13.747521480502314
0.64,fpr_0,0.13549239920687375,false_positive_rate,Black,32,13.549239920687375
0.66,fpr_0,0.1335095836087244,false_positive_rate,Black,33,13.35095836087244
0.68,fpr_0,0.13152676801057503,false_positive_rate,Black,34,13.152676801057503
0.7000000000000001,fpr_0,0.12954395241242564,false_positive_rate,Black,35,12.954395241242564
0.72,fpr_0,0.12756113681427628,false_positive_rate,Black,36,12.756113681427628
0.74,fpr_0,0.1255783212161269,false_positive_rate,Black,37,12.55783212161269
0.76,fpr_0,0.12359550561797752,false_positive_rate,Black,38,12.359550561797752
0.78,fpr_0,0.12161269001982816,false_positive_rate,Black,39,12.161269001982816
0.8,fpr_0,0.11962987442167879,false_positive_rate,Black,40,11.96298744216788
0.8200000000000001,fpr_0,0.11764705882352941,false_positive_rate,Black,41,11.76470588235294
0.84,fpr_0,0.11566424322538003,false_positive_rate,Black,42,11.566424322538003
0.86,fpr_0,0.11368142762723067,false_positive_rate,Black,43,11.368142762723068
0.88,fpr_0,0.1116986120290813,false_positive_rate,Black,44,11.16986120290813
0.9,fpr_0,0.10971579643093192,false_positive_rate,Black,45,10.971579643093191
0.92,fpr_0,0.10773298083278256,false_positive_rate,Black,46,10.773298083278256
0.9400000000000001,fpr_0,0.10575016523463318,false_positive_rate,Black,47,10.575016523463319
0.96,fpr_0,0.1037673496364838,false_positive_rate,Black,48,10.37673496364838
0.98,fpr_0,0.10178453403833443,false_positive_rate,Black,49,10.178453403833442
1.0,fpr_0,0.09980171844018507,false_positive_rate,Black,50,9.980171844018507
0.0,err_0,0.2521273242987708,err,Black,0,25.212732429877082
0.02,err_0,0.25118184683265043,err,Black,1,25.118184683265042
0.04,err_0,0.25023636936653004,err,Black,2,25.023636936653006
0.06,err_0,0.24929089190040976,err,Black,3,24.929089190040976
0.08,err_0,0.24834541443428937,err,Black,4,24.834541443428936
0.1,err_0,0.24739993696816898,err,Black,5,24.739993696816896
0.12,err_0,0.24645445950204858,err,Black,6,24.64544595020486
0.14,err_0,0.2455089820359282,err,Black,7,24.55089820359282
0.16,err_0,0.2445635045698078,err,Black,8,24.45635045698078
0.18,err_0,0.2436180271036874,err,Black,9,24.361802710368742
0.2,err_0,0.24267254963756701,err,Black,10,24.267254963756702
0.22,err_0,0.24172707217144662,err,Black,11,24.172707217144662
0.24,err_0,0.24078159470532623,err,Black,12,24.078159470532622
0.26,err_0,0.23983611723920584,err,Black,13,23.983611723920582
0.28,err_0,0.23889063977308544,err,Black,14,23.889063977308545
0.3,err_0,0.23794516230696505,err,Black,15,23.794516230696505
0.32,err_0,0.23699968484084466,err,Black,16,23.699968484084465
0.34,err_0,0.23605420737472427,err,Black,17,23.60542073747243
0.36,err_0,0.23510872990860388,err,Black,18,23.51087299086039
0.38,err_0,0.23416325244248348,err,Black,19,23.41632524424835
0.4,err_0,0.2332177749763631,err,Black,20,23.321777497636308
0.42,err_0,0.2322722975102427,err,Black,21,23.227229751024268
0.44,err_0,0.2313268200441223,err,Black,22,23.13268200441223
0.46,err_0,0.2303813425780019,err,Black,23,23.03813425780019
0.48,err_0,0.22943586511188152,err,Black,24,22.94358651118815
0.5,err_0,0.22849038764576113,err,Black,25,22.849038764576115
0.52,err_0,0.22754491017964074,err,Black,26,22.754491017964074
0.54,err_0,0.22659943271352034,err,Black,27,22.659943271352034
0.56,err_0,0.22565395524739995,err,Black,28,22.565395524739994
0.58,err_0,0.22439331862590606,err,Black,29,22.439331862590606
0.6,err_0,0.22344784115978567,err,Black,30,22.344784115978566
0.62,err_0,0.22250236369366527,err,Black,31,22.250236369366526
0.64,err_0,0.22155688622754488,err,Black,32,22.15568862275449
0.66,err_0,0.2206114087614245,err,Black,33,22.06114087614245
0.68,err_0,0.2196659312953041,err,Black,34,21.96659312953041
0.7000000000000001,err_0,0.2187204538291837,err,Black,35,21.87204538291837
0.72,err_0,0.2177749763630633,err,Black,36,21.777497636306332
0.74,err_0,0.21682949889694292,err,Black,37,21.682949889694292
0.76,err_0,0.21588402143082253,err,Black,38,21.588402143082252
0.78,err_0,0.21493854396470213,err,Black,39,21.493854396470212
0.8,err_0,0.21399306649858174,err,Black,40,21.399306649858175
0.8200000000000001,err_0,0.21304758903246135,err,Black,41,21.304758903246135
0.84,err_0,0.21210211156634096,err,Black,42,21.210211156634095
0.86,err_0,0.21115663410022056,err,Black,43,21.115663410022055
0.88,err_0,0.21021115663410017,err,Black,44,21.02111566341002
0.9,err_0,0.20926567916797978,err,Black,45,20.92656791679798
0.92,err_0,0.2083202017018594,err,Black,46,20.832020170185938
0.9400000000000001,err_0,0.207374724235739,err,Black,47,20.737472423573898
0.96,err_0,0.2064292467696187,err,Black,48,20.642924676961872
0.98,err_0,0.20548376930349832,err,Black,49,20.548376930349832
1.0,err_0,0.20453829183737793,err,Black,50,20.453829183737792
0.0,ppv_0,0.7937158469945356,ppv,Black,0,79.37158469945356
0.02,ppv_0,0.7953456536618754,ppv,Black,1,79.53456536618754
0.04,ppv_0,0.7969821673525377,ppv,Black,2,79.69821673525377
0.06,ppv_0,0.7986254295532647,ppv,Black,3,79.86254295532646
0.08,ppv_0,0.800275482093664,ppv,Black,4,80.0275482093664
0.1,ppv_0,0.8019323671497585,ppv,Black,5,80.19323671497585
0.12,ppv_0,0.8035961272475796,ppv,Black,6,80.35961272475795
0.14,ppv_0,0.8052668052668053,ppv,Black,7,80.52668052668052
0.16,ppv_0,0.8069444444444445,ppv,Black,8,80.69444444444444
0.18,ppv_0,0.8086290883785665,ppv,Black,9,80.86290883785665
0.2,ppv_0,0.810320781032078,ppv,Black,10,81.03207810320781
0.22,ppv_0,0.8120195667365478,ppv,Black,11,81.20195667365479
0.24,ppv_0,0.8137254901960784,ppv,Black,12,81.37254901960785
0.26,ppv_0,0.8154385964912281,ppv,Black,13,81.54385964912281
0.28,ppv_0,0.8171589310829818,ppv,Black,14,81.71589310829818
0.3,ppv_0,0.8188865398167724,ppv,Black,15,81.88865398167724
0.32,ppv_0,0.8206214689265536,ppv,Black,16,82.06214689265536
0.34,ppv_0,0.8223637650389243,ppv,Black,17,82.23637650389243
0.36,ppv_0,0.8241134751773049,ppv,Black,18,82.41134751773049
0.38,ppv_0,0.8258706467661692,ppv,Black,19,82.58706467661692
0.4,ppv_0,0.8276353276353277,ppv,Black,20,82.76353276353277
0.42,ppv_0,0.8294075660242684,ppv,Black,21,82.94075660242683
